society_name,circuit_location,demo,metered_light_count,before_kwh_day,after_kwh_day,rejected,rejection_reason,note
Ace City,Basement,1,96,48.70,16.36,no,,"Report's own tables: 8 days 03-10 Aug 2025 averaging 48.6987, 7 days 16-22 Oct averaging 16.3629"
Ace Aspire,Basement,1,71,32.91,12.25,no,,"Report's own tables: 11 days 19 Feb-01 Mar 2026 averaging 32.9073, 10 days 03-12 Mar averaging 12.2570"
Aditya Mega City,Basement,1,91,47.40,19.68,no,,"Report's own tables: 8 days 29 Jan-05 Feb 2025 averaging 47.3987, 7 days 13-19 Feb averaging 19.6814. Raw savings 58.48%; 64.16% once the excluded street lights come off both sides; the agreement says 64%"
Aditya Urban Casa,Basement,1,100,47.43,24.53,no,,"Demo-1: 3 days 15-17 Dec 2025, then 5 days 22-26 Dec"
Aditya Urban Casa,Basement,2,22,12.49,1.85,no,,"Demo-2: 6 days 14-19 Dec 2025, then 5 days 21-25 Dec. Run alongside demo-1 on a different set of lights, so the two share dates"
Aditya Urban Casa,Lift Lobby,1,16,1.81,0.40,no,,"15 days 24 Apr-08 May 2026 averaging 1.81, then 6 days 11-16 May averaging 0.40"
Amrapali Princely Estate,Basement,1,40,19.14,6.68,no,,"Initial pilot, 6 pre days 21-26 Dec 2025 averaging 19.1433 against a stated 19.14, then 5 days 29 Dec-02 Jan averaging 6.6820 against 6.68. Report's own savings 65.09%."
Amrapali Princely Estate,Basement,2,100,47.17,18.53,no,,"Extended validation, 16 pre days 14-29 Jan 2026 averaging 47.1706 against a stated 47.17 (printed as two stacked halves, the Average in the first). Post table's 8 days average 18.7675 against a stated 18.53 - the report's own 60.72% uses 18.53, so that is the figure of record and the days stay as measured."
Arihant Arden,Basement,1,44,22.54,8.92,no,,"8 pre days 15-22 Jul 2025 averaging 22.5388 against a stated 22.54, then 6 days 24-29 Jul averaging 8.9233 against 8.92. Metered count is the 44 tube lights; the 9 ramp lights share the circuit and the meter but are excluded from the calculation."
ATS Greens Paradiso,Basement,1,40,18.71,6.66,no,,"5 pre days 07-11 Jan 2026 averaging 18.7140 against a stated 18.71, then 4 days 18-21 Jan averaging 6.6575 against 6.66. Transcribed from the rendered PDF, which has no extractable text."
Bestech Park View Residency,Basement,1,47,23.80,7.83,no,,"6 pre days 14-19 Sep 2025 averaging 23.7983 against a stated 23.80, then 7 days 23-29 Sep averaging 7.8314 against 7.83. Transcribed from the user's pasted text; no file was supplied."
Elite Homz,Basement,1,45,22.01,8.52,no,,"6 pre days 13-18 Nov 2025 averaging 22.0083 against a stated 22.01, then 6 days 24-29 Nov averaging 8.5183 against 8.52. Transcribed from the user's pasted text."
French Apartment,Basement,1,55,25.00,8.91,no,,"6 pre days 05-10 Nov 2025 averaging 24.9967 against a stated 25.00, then 4 days 15-18 Nov averaging 8.9050 against 8.91. Transcribed from the user's pasted text."
The Hyde Park,Basement,1,55,28.66,12.53,no,,"6 pre days 04-09 Mar 2025 averaging 28.6633 against a stated 28.66, then 5 days 24-28 Mar averaging 12.5260 against 12.53. Figures are the whole 63-light circuit; the 55-light basis the benchmark uses is 25.02 and 8.89."
Gaur Saundaryam,Basement,1,45,20.37,8.19,no,,"5 pre days 06-10 Dec 2024 averaging 20.3680 against a stated 20.37, then 11 days 01-11 Jan 2025 averaging 8.1882 against 8.19. Metered count is the 45 fittings actually replaced - 42 tube plus 3 of the 5 surface lights; the other 2 surface lights are excluded."
RG Residency,Basement,1,49,22.67,10.49,no,,"Stilt area, report dated 16 Oct 2025. 4 pre days 22-25 Sep 2025 averaging 22.6700 against a stated 22.67, then 4 days 05-08 Oct averaging 10.4850 against 10.49. Its report marks every post-installation day out of acceptable range."
RG Residency,Basement,2,20,10.02,2.13,no,,"Basement area, report dated 22 Oct 2025. 5 pre days 07-11 Sep 2025 averaging 10.0220 against a stated 10.02, then 7 days 15-21 Sep averaging 2.1300 against 2.13."
