society_name,circuit_location,light_type,represented_light_count,meter_installed_on,lights_replaced_on,baseline_kwh_day,after_kwh_day,savings_pct,billing,notes,deviations
Ace City,Basement,basement,2508,2025-08-02,2025-10-15,48.70,16.36,66.40,yes,"Report's own tables average to 48.6987 and 16.3629 -> 66.3998%, matching its stated figures exactly. Neither date is stated: meter-install taken as the day before its first reading (03 Aug), replacement as the day before the post-install readings start (16 Oct). NOTE - the meter workbook for this circuit shows consumption dropping from ~48 to ~18 kWh/day on 18 Aug 2025, so the lights were physically changed then; the report simply re-measured in October. Represented count is the first invoice's own figure (""Number of lights = 2,508""), which the agreement rounds to 2,500.",eligibility-never-assessed;dates-inferred-from-readings;represented-count-from-invoice;benchmark-single-demo;benchmark-rounded-in-agreement
Ace Aspire,Basement,basement,1265,2026-02-18,2026-03-02,32.91,12.25,62.78,yes,"Report's own tables average to 32.9073 (11 days, 19/02-01/03) and 12.2570 (10 days, 03/03-12/03) -> 62.75%, against its stated 32.91 / 12.25 / 62.78%. Its pre-install header says '19 Feb - 22 Feb 2026' while the table runs to 01/03; the table is what reproduces the stated average. Neither date is stated: meter-install taken as the day before the first reading, replacement as the day before the post-install readings start. Represented count is the first invoice's Qty (1,265). Report does not name the area or the running hours. Area is not named in the report; taken as basement because the circuit runs 24h (71 x 20W x 24h = 34.08 kWh/day against a measured 32.91, 3.6% off) and CON-11 names basement parking as the 24h operating profile - a staircase or external circuit would be dusk-to-dawn.",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo
Aditya Mega City,Basement,basement,605,2025-01-28,2025-02-12,47.40,19.68,64.00,yes,"Savings is the AGREEMENT's 64% benchmark, per the rule. The report prints 63.17%, which its own tables do not give: 8 days 29 Jan-05 Feb average 47.3987 and 7 days 13-19 Feb average 19.6814, which is 58.48% raw or 64.16% once the excluded street lights' 4.20 kWh/day comes off both sides. The agreement's Annexure 1 repeats the report's 63.17% while its body says 64%. Light count is 91, not the 93 the report's prose states - its own theoretical line of 43.68 kWh/day is 91 x 20W x 24h. Dates are not stated: meter-install taken as the day before the first reading, replacement as the day before the after-readings start. Represented count is the invoice's 605 lights installed.",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo;benchmark-adjusted-for-excluded-devices
Aditya Urban Casa,Basement,basement,736,2025-12-13,2025-12-20,59.92,26.38,66.72,yes,"TWO demos on this circuit, averaged - the case the user described. Demo-1: 100 lights, 47.43 -> 24.53 = 48.28%. Demo-2: 22 lights, 12.49 -> 1.85 = 85.19%. The report and the agreement both take the SIMPLE average of the two percentages, 66.72%, not the consumption-weighted 55.97%. Recorded as one circuit of 122 metered lights because that is what reproduces the agreement's own savings figure. baseline/after are the two demos summed, so they give 55.97% rather than the 66.72% benchmark - that gap is the averaging method, not an error. Dates from the earlier of the two demos.",eligibility-never-assessed;dates-inferred-from-readings;benchmark-mean-of-demo-percentages;report-contradicts-its-own-table
Aditya Urban Casa,Lift Lobby,lift-lobby,1153,2026-04-23,2026-05-10,1.81,0.40,78.00,no,"NOT BILLING YET (the user, 2026-08-26) - commissioned but no fee line. 16 surface lights at 9W running 12h; theoretical 1.73 kWh/day against a measured 1.81. Report: 15 days 24 Apr-08 May 2026 averaging 1.81, then 6 days 11-16 May averaging 0.40, giving 77.9% which it rounds to ~78%; its own agreement states 78%. That agreement states a 57/43 split, a Rs 1,000 fee and 1,153 contracted lights - none of it used while billing has not started. REPRESENTED COUNT UNKNOWN. Represented count 1,153 - its own agreement's contracted figure, confirmed by the user (2026-08-27). The rest of that agreement's terms (57/43, a Rs 1,000 fee) stay unused while this circuit is not billing.",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo;not-billing
Amrapali Princely Estate,Basement,basement,2310,2025-12-20,2026-02-08,66.31,25.21,65.09,yes,"TWO demos on this circuit, run a month apart rather than side by side: 40 lights (21-26 Dec 2025 pre, 29 Dec-02 Jan post) then 100 lights (14-29 Jan 2026 pre, 09-16 Feb post). baseline/after are the report's own combined totals, 19.14+47.17 and 6.68+18.53, which ratio to 61.98% - the report's own combined figure. The recorded 65.09% is the agreement's, and is an override for that reason. Meter install taken as the day before the FIRST demo's first reading; replacement as the day before the SECOND demo's post-install readings, since that batch completed the circuit. The second demo's post-install table averages 18.7675 against its own stated 18.53, and 18.53 is what the report's 60.72% and everything after it were computed from, so 18.53 is what is recorded.",eligibility-never-assessed;dates-inferred-from-readings;demos-run-in-batches;benchmark-from-superseded-annexure;report-contradicts-its-own-table
Arihant Arden,Basement,basement,750,2025-07-14,2025-07-23,22.54,8.92,64.12,yes,"CON-16's exclusion case, stated outright by the report: 44 tube lights (20W, 24h) share the circuit with 9 ramp lights (12W, 12h) that are not replaced. Its own words - 'We are using 21.24 kWh/day instead of 22.54 kWh/day because the originally recorded consumption included 1.30 kWh/day from 9 ramp lights ... which are not part of our motion-enabled lighting solution.' The ramp lights' 1.30 comes off both sides, so 13.62/21.24 = 64.1243% against a raw 60.4259%; the recorded 64.12% is therefore an override. baseline/after are the measured totals, 22.54 and 8.92, both reproduced by the report's own tables to 4 places (22.5388 and 8.9233). Neither date is stated: meter install taken as the day before the first pre-install reading (15 Jul 2025), replacement as the day before the post-install readings start (24 Jul).",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo;benchmark-adjusted-for-excluded-devices
ATS Greens Paradiso,Basement,basement,951,2026-01-06,2026-01-17,18.71,6.66,64.43,yes,"40 tube lights at 20W running 24h; theoretical 19.20 kWh/day against a measured 18.71. The recorded 64.43% is the agreement's and the report's own stated figure, and is an override: the arithmetic it prints beside it, (18.71-6.66)/18.71, gives 64.4041%, and the unrounded daily means give 64.4198%. The gap is a rounding slip in the report, not a different measurement. The PDF of this report has no extractable text and was first read by rendering it through CoreGraphics; a readable .docx was supplied afterwards and the parser's rows match that reading exactly, so the figures are parsed rather than transcribed. Both tables' means reproduce the report's own stated averages - 5 pre days average 18.7140 against 18.71, 4 post days average 6.6575 against 6.66. Neither date is stated: meter install taken as the day before the first pre-install reading (07 Jan 2026), replacement as the day before the post-install readings start (18 Jan).",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo;benchmark-rounded-in-agreement
Bestech Park View Residency,Basement,basement,400,2025-09-13,2025-09-22,23.80,7.83,67.10,yes,"47 tube lights at 20W running 24h; theoretical 22.56 kWh/day against a measured 23.80, a +5.49% variance the report itself records as within range. NO OVERRIDE: the raw demo arithmetic gives (23.80-7.83)/23.80 = 67.1008%, which is the agreed 67.10% to two places - the first of these societies where the measured figure and the contracted one agree without one. Both tables reproduce their stated averages: 6 pre days 14-19 Sep 2025 average 23.7983 against a stated 23.80, 7 post days 23-29 Sep average 7.8314 against 7.83. Neither date is stated: meter install taken as the day before the first pre-install reading (14 Sep 2025), replacement as the day before the post-install readings start (23 Sep).",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo
Elite Homz,Basement,basement,961,2025-11-12,2025-11-23,22.01,8.52,61.29,yes,"45 tube lights at 20W running 24h; theoretical 21.60 kWh/day against a measured 22.01, a +1.89% variance the report records as within range. NO OVERRIDE: (22.01-8.52)/22.01 = 61.2903%, which is the agreed 61.29%. Both tables reproduce their stated averages - 6 pre days 13-18 Nov 2025 average 22.0083 against 22.01, 6 post days 24-29 Nov average 8.5183 against 8.52. Neither date is stated: meter install taken as the day before the first pre-install reading (13 Nov 2025), replacement as the day before the post-install readings start (24 Nov).",eligibility-never-assessed;dates-inferred-from-readings;benchmark-single-demo
