society_name,location,contact_name,contact_phone,agreement_signed_on,printed_notarized_on,term_start,term_months,society_share_pct,tolerance_pct,unit_rate_inr,monthly_fee_inr,agreed_savings_pct,contracted_light_count,notes,deviations
Ace City,"GH-01, Sector 1, Greater Noida West, Gautam Buddha Nagar, UP 201306",,,2025-10-23,2025-11-10,2025-12-15,36,64.00,10,6.30,54214,66.40,2500,"Named in the agreement as ""Ace City Apartment Owners Association"". Share computed from its own figures: Rs 54214 of Rs 150595 = 36.00% FirsThing / 64.00% society, matching the stated ~36%. Tolerance is the 10% default - the agreement states none. Phone redacted in the scan (98******59). Signed date is the page-1 effective date; the stamp reads 10/11/2025, the customer signature 11/10/25, the notary 10 Nov 2025. Term start is the installation-completion date, derived from the first invoice (INV80850028, issued 31/12/2025): it bills 16 days of a 31-day December, so billing ran 16-31 Dec and completion was 15 Dec 2025. Address is the invoice's billing address, printed as ""GH-01, SECTOR-01, GREATER NOIDA WEST, Gautambuddha Nagar, Greater Noida, Uttar Pradesh-201306""; case normalised. Society GSTIN 09AANAA9463D1ZG is on the invoice but has no column to live in. Printed and notarised 10 Nov 2025 - the e-stamp certificate date, corroborated by the notary's own '10 NOV 2025'. It falls AFTER the 23 Oct front-page effective date, which is normal for a backdated effective date but does mean printed/notarised reads later than signed.",
Ace Aspire,"Atul Marg, Techzone 4, Amrapali Leisure Valley, Greater Noida 201318, Uttar Pradesh",,,2026-03-18,2026-04-01,2026-05-24,36,58.00,10,6.30,23920,62.78,1000,"Agreement states the split outright (Annexure A: FirsThing 42% / society 58%) and the money agrees - Rs 23,920 of Rs 56,954 is 42.00%. Page 5's '50% of these verified savings' contradicts both and is disregarded. Tolerance +/-10% is stated in the agreement itself. Two dates: page 1 says 18 March 2026, the stamp and execution page say 01/04/2026; the first invoice independently cites 'agreement dated 18.03.2026', so the front-page date stands. Term start from the first invoice: it bills 'for the month of May 2026 - From 25th May', so installation completed 24 May 2026. Contracted for a 'minimum of 1000 lights'; 1,265 were billed. Contact signed as President/Secretary with no printed name; phone redacted in the scan. Printed and notarised 1 Apr 2026 - the stamp paper and execution date on page 6. Later than the 18 Mar front-page date, same backdated-effective-date pattern as Ace City.",
Aditya Mega City,"Plot No 3, Vaibhav Khand, Indirapuram, Ghaziabad 201014, Uttar Pradesh",Akanksha Kesalwaci,,2025-08-17,2025-08-17,2025-09-01,36,64.00,10,7.00,13934,64.00,600,"Society is 'ASSOCIATION ADITYA MEGA CITY RESIDENTS WELFARE'; GSTIN 09AACAA5319H2ZV on the invoice. Term start corroborated two ways: the invoice bills 29 days of a 30-day September, so billing ran 2-30 Sept and completion was 1 Sept; and the agreement says installation begins 10 days after the 17 Aug signing. Tolerance is the 10% default - not stated. WATCH: the agreement is not internally consistent on the fee. Rs 13,934 is 27% of the Rs 51,610 it calls the monthly savings, not the 36% it states; the society's retained Rs 33,030 IS 64% of 51,610. The fee itself is right - it fits 600 lights at the measured saving (Rs 13,817 computed) and matches the first invoice's Rs 13,581.57 for 29 days. So Rs 51,610 is the figure that does not reconcile. Also note agreed savings and society share are both 64% - separate figures that happen to coincide. Printed and notarised 17 Aug 2025 - the certificate issued date, the same day the agreement itself is dated.",
Aditya Urban Casa,,Guddu Sonka,,2026-01-04,2026-01-04,2026-02-07,36,54.00,5,7.00,23299,66.72,930,"TWO circuits: basement (billing) and lift lobby (commissioned, NOT billing yet). Share derived from the billed amount, per the user: Rs 23,299 against the basement's own extrapolation at 736 lights (Rs 50,648/month) is 46.0015% to FirsThing - 46% to a rupee - so 54% to the society. The agreement's own figures do NOT reconcile and are not used: it states a 20/80 split, a fee of Rs 29,400 and monthly savings of Rs 64,001, the last of which only reproduces at 930 lights rather than 736. Tolerance is +/-5%, stated in the agreement - the first society not on the 10% default. Location left blank: the invoice's billing address is malformed ('Noida, Uttar Pradesh, noida, , Uttar Pradesh, India') and adds nothing to the existing 'Sector 78, Noida'. Term start 7 Feb 2026, given by the user (2026-08-27). Not derivable from the invoices supplied: the run opens with a Feb-2026 invoice for the devices (700 at Rs 20 plus a service fee) and the first SAVINGS invoice is March-2026 at Rs 23,299, already a full month - so no partial February savings invoice appears in what was shared, even though completion on 7 Feb implies one. Printed and notarised 4 Jan 2026 - certificate issued date, same day as the agreement.",agreement-figures-do-not-reconcile
Amrapali Princely Estate,,,,2026-02-26,2026-02-11,2026-04-02,36,56.5632,10,6.65,62541.71,65.09,2310,"Two demos on one basement circuit, 40 lights then 100, in one combined document. BENCHMARK IS 65.09%, NOT the combined report's 61.98%. The annexure fixed the benchmark on the 40-light demo alone and says in terms 'a demo of 100 lights is currently in progress. We will average the results from both demos and update this annexure after the second report is generated' - it was never updated, and the invoice proves billing follows the un-updated figure: 2,310 lights at 65.09% and Rs 6.65/kWh reproduce the invoice's Rs 51,436.00 device line and Rs 11,105.71 service line TO THE PAISA, where 61.98% would give Rs 10,280.07. COMMERCIAL STRUCTURE IS UNLIKE THE OTHERS: a fixed device charge (Rs 66,800/month at 3,000 lights) plus 88/12 of what is left, not a straight share of savings. Both halves scale linearly with the light count, so it reduces to a constant 43.4368% to FirsThing - 56.5632% to the society - which is what is recorded here. Monthly fee is the invoice's own ex-GST subtotal for 2,310 lights. Signed 26 Feb 2026 by the society; FirsThing signed 02 Feb; stamped and notarised 11 Feb (the user, 2026-08-28). Term start 2 Apr 2026: the first invoice covers 29 days of April, so billing began on the 2nd (the user). Tolerance not stated in the agreement, so the 10% default. 2,310 lights installed against the agreement's 3,000 minimum; its clause 'valid only if at least 3000 lights are installed' was not enforced - the invoice bills the 2,310 pro-rata instead.",fee-device-charge-plus-share-of-net;report-share-differs-from-agreement
Arihant Arden,,,,2025-11-27,2025-11-27,2026-01-01,36,67.9075,10,6.30,14001.00,64.12,750,"One circuit, one demo. Every figure in the agreement reconciles exactly: 64.12% of 10,800 kWh/month (750 lights x 20W x 24h x 30) = 6,925 kWh at Rs 6.30 = Rs 43,627, less the Rs 14,000 service charge = Rs 29,627 retained by the society, all as printed. The January 2026 invoice bills 750 lights at Rs 18.67 each = Rs 14,001.00 ex-GST (Rs 16,521 with 18% IGST), so exactly the contracted minimum was installed and the charge is flat monthly, not day-prorated - it reads 'For 30 days' on a 31-day month. Share is derived from what is billed: Rs 14,001 of Rs 43,627 is 32.0925% to FirsThing, 67.9075% to the society. The demo report's own '40% of these verified savings will be shared with our company' does NOT match the agreement's own arithmetic and is not used. Agreement created and signed 27 Nov 2025 (the user, 2026-08-28); billing starts 1 Jan 2026, so installation finished on or before 31 Dec 2025. Tolerance not stated in the agreement, so the 10% default. Beyond 750 lights the charge rises by Rs 20 + GST per light, which does not apply here.",fee-device-charge-plus-share-of-net;report-share-differs-from-agreement
ATS Greens Paradiso,,,,2026-03-22,2026-03-17,2026-06-01,36,60,5,6.30,21663.78,64.43,951,"One circuit, one demo of 40 lights. Every figure reconciles: the agreement's 14,032.5 kWh/month is the demo's MEASURED 18.71 kWh/day extrapolated to 1,000 lights (18.71/40 x 1000 x 30) - CON-11's own extrapolation, not a theoretical - and 64.43% of it at Rs 6.30 gives Rs 56,953, split 60/40 for FirsThing's Rs 22,781. The agreement is written for an ESTIMATED 1,000 lights and says the invoice adjusts to the actual installed count; 951 went in (the user, 2026-08-28), and the June 2026 invoice bills 951 x Rs 22.78 = Rs 21,663.78 ex-GST, which is Rs 22,781/1000 per light. It cites 'agreement dated 17.03.2026', matching the notarisation date. TOLERANCE IS +/-5%, stated in the agreement ('an acceptable variance of +/-5% in energy reduction') - the second society not on the 10% default, after Aditya Urban Casa. Notarised 17 Mar 2026, signed 22 Mar 2026, billing from 1 Jun 2026 so installation finished on or before 31 May (all from the user). The demo report's own '40% of these verified savings will be shared with our company' agrees with the agreement's 60/40 split.",extrapolation-measured
Bestech Park View Residency,,,,2026-02-05,2026-02-05,2026-03-15,36,52.4799,10,6.50,11938.00,67.10,400,"SOURCE IS THE USER'S PASTED TEXT (2026-08-28), not a file on disk - both the agreement and the demo report were supplied inline, so the readings below are transcribed from that text rather than parsed from a document. Every figure was checked against the documents' own arithmetic and all of it reconciles exactly. Agreement made 07 Oct 2025, notarised and signed the same day 05 Feb 2026; billing from 15 Mar 2026: the first invoice was raised on 31 Mar 2026 for 17 days, and 17 days ending the 31st can only start on the 15th. Installation finished ON 15 Mar (the user, 2026-08-28), so billing began the SAME day it completed rather than the day after - a departure from CON-22's normal rule, and the reason this contract's term starts on the 15th rather than the 16th. Nothing here stores a completion date for CON-22 to derive from; term_start is taken as given. That first invoice is therefore prorated to Rs 6,546.65 ex-GST; the Rs 11,938 recorded here is the full monthly charge the contract runs at, which CON-22 prorates for the opening month. 400 lights agreed and 400 installed, so no additional-light charge applies. PRE-INSTALLATION CONSUMPTION IS THE THEORETICAL, NOT THE MEASURED, unlike ATS Greens Paradiso: 5,760 kWh/month is 400 x 20W x 24h x 30, where extrapolating the demo's measured 23.80 kWh/day over 47 lights would give 6,076.6. The agreement took the lower figure, and every downstream number follows from it: 67.10% of 5,760 = 3,865 kWh at Rs 6.50 = Rs 25,122, less Rs 8,000 for hardware = Rs 17,122 net, of which FirsThing takes 23% = Rs 3,938, for a monthly payable of Rs 11,938 + GST. The structure is a fixed device charge plus a share of what remains, as at Amrapali Princely Estate, and reduces to a constant 47.5201% to FirsThing - 52.4799% to the society. Tolerance +/-10%, stated in the agreement's clause 18 rather than defaulted. The demo report's own '50% of these verified savings' does not match the agreement and is not used.",extrapolation-theoretical;fee-device-charge-plus-share-of-net;billing-starts-on-completion-day;report-share-differs-from-agreement
Elite Homz,,,,2026-01-20,2026-01-13,2026-03-15,36,63,5,7.00,22394.00,61.29,961,"SOURCE IS THE USER'S PASTED TEXT for the agreement and demo report (2026-08-28); the invoices are real files. The demo was 45 lights - the annexure's '55' is a typo, confirmed by the user, and 45 is what the report's own theoretical (45 x 20W x 24h = 21.60 kWh/day) and every figure after it use. LIGHT COUNT IS 961, confirmed by the user (2026-08-28) after an initial 400. All three invoices bill 961, and the arithmetic agrees: April and May are full months at Rs 22,394.00, which is the agreement's Rs 23,815 scaled 961/1022 to the rupee, and FirsThing's share of the savings at 961 lights works out to exactly the 37% the agreement states. Agreement made 27 Dec 2025, notarised 13 Jan 2026, signed 20 Jan 2026. Billing from 15 Mar 2026: the first invoice is dated 31 Mar for 17 days, and installation finished on or before 14 Mar (the user), so this one follows CON-22's ordinary day-after rule. Monthly charge is Rs 19,220 of devices (961 x Rs 20) plus Rs 3,174 of services = Rs 22,394 ex-GST; the March invoice prorates only the device line cleanly (19,220 x 17/31 = 10,540 exactly). 1,022 lights agreed, 961 installed - the agreement's clause that the full Rs 23,815 stays payable below the minimum was NOT enforced; the charge was scaled down instead. Tolerance +/-5%, stated in clause 6. The demo report's own '50% of these verified savings' does not match the agreement's 63/37 and is not used.",extrapolation-measured;minimum-light-clause-not-enforced;report-share-differs-from-agreement
French Apartment,,,,2026-03-18,2026-03-18,2026-01-01,36,58,5,6.15,24165.52,64.36,1066,"SOURCE IS THE USER'S PASTED TEXT for the agreement and demo report (2026-08-28). Every figure reconciles to the paisa: the pre-installation consumption 14,536.36 kWh/month is the demo's MEASURED 25.00 kWh/day extrapolated over 55 lights to 1,066 (25.00/55 x 1066 x 30) - exact, not rounded - and 64.36% of it at Rs 6.15 gives Rs 57,536.94, split 58/42 for FirsThing's Rs 24,165.52. 1,066 agreed and 1,066 installed, so the minimum clause does not bite. BILLING PREDATES EXECUTION, and the agreement says so itself: clause 21 sets the effective date at 24 Feb 2026 but the billing period at 1 Jan 2026 to 31 Dec 2028. It was then notarised and signed on 18 Mar 2026, a SECOND execution after changes - an earlier version was signed before Dec 2025 and is not on file (the user). So the contract on record was executed more than two months after the billing it governs began. The dates held here are the second signing. First invoice is for Jan 2026, so installation finished on or before 31 Dec 2025. Tolerance +/-5%, stated twice - in clause 6 and again in the performance guarantee. The demo report's own '42% of these verified savings' AGREES with the agreement's 58/42, unlike most of these.",extrapolation-measured;billing-predates-agreement-execution;agreement-re-executed-after-changes
